Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
european-white-goose-down-pillows,,,,,,,,,Standard,,,Soft,,,,,PIL-830-STD-SFT,0.0,,0,deny,manual,635,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,5920,,true,550,,true,470,,true,,,
european-white-goose-down-pillows,,,,,,,,,Standard,,,Medium,,,,,PIL-830-STD-MED,0.0,,0,deny,manual,745,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,6950,,true,650,,true,550,,true,,,
european-white-goose-down-pillows,,,,,,,,,Standard,,,Firm,,,,,PIL-830-STD-FRM,0.0,,0,deny,manual,855,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,7970,,true,740,,true,630,,true,,,
european-white-goose-down-pillows,,,,,,,,,Euro/Square,,,Soft,,,,,PIL-830-EUR-SFT,0.0,,0,deny,manual,850,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,7930,,true,740,,true,630,,true,,,
european-white-goose-down-pillows,,,,,,,,,Euro/Square,,,Medium,,,,,PIL-830-EUR-MED,0.0,,0,deny,manual,985,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,9190,,true,850,,true,730,,true,,,
european-white-goose-down-pillows,,,,,,,,,Euro/Square,,,Firm,,,,,PIL-830-EUR-FRM,0.0,,0,deny,manual,1120,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,10440,,true,970,,true,830,,true,,,
european-white-goose-down-pillows,,,,,,,,,Queen,,,Soft,,,,,PIL-830-QUN-SFT,0.0,,0,deny,manual,635,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,5920,,true,550,,true,470,,true,,,
european-white-goose-down-pillows,,,,,,,,,Queen,,,Medium,,,,,PIL-830-QUN-MED,0.0,,0,deny,manual,745,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,6950,,true,650,,true,550,,true,,,
european-white-goose-down-pillows,,,,,,,,,Queen,,,Firm,,,,,PIL-830-QUN-FRM,0.0,,0,deny,manual,855,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,7970,,true,740,,true,630,,true,,,
european-white-goose-down-pillows,,,,,,,,,King,,,Soft,,,,,PIL-830-KNG-SFT,0.0,,0,deny,manual,850,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,7930,,true,740,,true,630,,true,,,
